order_id,order_date,city,states,sales_channel,store_type,product_category,quantity,unit_price,discount_percent,net_sales_amount,payment_mode,customer_gender,customer_age
ORD1000000,17-05-2023,Bhopal,Madhya Pradesh,Online,Online Only,Sunglasses,3,1659,0,4977,Net Banking,Female,25
ORD1000001,24-04-2022,Faridabad,Haryana,Online,Online Only,Computer Glasses,1,3891,0,3891,Credit Card,Female,36
ORD1000002,05-06-2022,Kolkata,West Bengal,Offline,Standalone Store,Contact Lenses,3,4243,10,11456.1,Debit Card,Female,41
ORD1000003,24-03-2024,Ahmedabad,Gujarat,Offline,Online Only,Sunglasses,3,2484,0,7452,Credit Card,Female,41
ORD1000004,17-08-2024,Ahmedabad,Gujarat,Online,Online Only,Contact Lenses,2,3232,0,6464,Debit Card,Other,38
ORD1000005,31-08-2024,Jaipur,Rajasthan,Offline,High Street Store,Computer Glasses,1,4184,10,3765.6,Cash,Other,61
ORD1000006,20-06-2025,Hyderabad,Telangana,Online,Online Only,Eyeglasses,1,1273,10,1145.7,Net Banking,Male,59
ORD1000007,01-05-2024,Ahmedabad,Gujarat,Online,Online Only,Eyeglasses,3,988,0,2964,UPI,Male,61
ORD1000008,08-10-2022,Patna,Bihar,Offline,Standalone Store,Sunglasses,3,2066,10,5578.2,Net Banking,Female,20
ORD1000009,02-09-2025,Lucknow,Uttar Pradesh,Offline,Standalone Store,Computer Glasses,1,4689,15,3985.65,Cash,Male,26
ORD1000010,19-12-2023,Ahmedabad,Gujarat,Online,Online Only,Sunglasses,3,3234,20,7761.6,UPI,Female,31
ORD1000011,11-01-2023,Lucknow,Uttar Pradesh,Offline,Standalone Store,Contact Lenses,2,2840,5,5396,Cash,Other,19
ORD1000012,18-08-2023,Noida,Uttar Pradesh,Offline,Standalone Store,Eyeglasses,3,2277,10,6147.9,Net Banking,Other,25
ORD1000013,23-05-2024,Cuttack,Odisha,Online,Online Only,Sunglasses,3,833,20,1999.2,Cash,Female,53
ORD1000014,27-03-2025,Indore,Madhya Pradesh,Offline,High Street Store,Contact Lenses,2,4742,15,8061.4,UPI,Male,23
ORD1000015,04-12-2025,Chennai,Tamil Nadu,Online,Online Only,Sunglasses,2,4642,0,9284,UPI,Female,35
ORD1000016,30-04-2024,Bhubaneswar,Odisha,Online,Online Only,Computer Glasses,2,960,5,1824,UPI,Other,53
ORD1000017,10-03-2024,Bhopal,Madhya Pradesh,Online,Online Only,Contact Lenses,2,4141,0,8282,UPI,Female,40
ORD1000018,19-08-2024,Patna,Bihar,Offline,Online Only,Sunglasses,1,1136,10,1022.4,Credit Card,Female,41
ORD1000019,12-06-2025,Kolkata,West Bengal,Online,Online Only,Contact Lenses,2,1178,5,2238.2,UPI,Male,46
ORD1000020,23-04-2022,Faridabad,Haryana,Online,Online Only,Eyeglasses,3,4683,0,14049,Net Banking,Other,24
ORD1000021,06-11-2023,Mumbai,Maharashtra,Online,Online Only,Eyeglasses,1,2826,5,2684.7,Credit Card,Male,28
ORD1000022,28-09-2022,Indore,Madhya Pradesh,Offline,Online Only,Computer Glasses,3,1190,15,3034.5,Cash,Other,50
ORD1000023,18-11-2025,Gurugram,Haryana,Online,Online Only,Sunglasses,3,4360,5,12426,Cash,Other,58
ORD1000024,18-03-2024,Jaipur,Rajasthan,Offline,High Street Store,Sunglasses,3,999,10,2697.3,UPI,Female,51
ORD1000025,01-04-2024,Ranchi,Jharkhand,Online,Online Only,Eyeglasses,1,3253,15,2765.05,Cash,Male,54
ORD1000026,06-04-2025,Bhopal,Madhya Pradesh,Offline,Mall Store,Contact Lenses,3,3530,10,9531,Cash,Female,44
ORD1000027,04-01-2023,Cuttack,Odisha,Offline,Online Only,Sunglasses,3,3489,15,8896.95,Cash,Male,43
ORD1000028,23-06-2024,Ahmedabad,Gujarat,Online,Online Only,Sunglasses,3,1669,0,5007,UPI,Other,32
ORD1000029,21-02-2022,Ahmedabad,Gujarat,Online,Online Only,Sunglasses,3,2283,5,6506.55,Credit Card,Other,49
ORD1000030,22-04-2023,Lucknow,Uttar Pradesh,Online,Online Only,Computer Glasses,3,1362,10,3677.4,Cash,Male,21
ORD1000031,27-04-2023,Kolkata,West Bengal,Online,Online Only,Sunglasses,2,2477,15,4210.9,Credit Card,Male,53
ORD1000032,12-01-2022,Bengaluru,Karnataka,Offline,High Street Store,Eyeglasses,1,2521,15,2142.85,UPI,Male,45
ORD1000033,11-03-2022,Delhi,Delhi,Offline,Mall Store,Eyeglasses,2,3528,15,5997.6,Debit Card,Male,23
ORD1000034,11-12-2024,Bhopal,Madhya Pradesh,Offline,Standalone Store,Sunglasses,2,2780,10,5004,Credit Card,Female,45
ORD1000035,05-09-2022,Ranchi,Jharkhand,Offline,Online Only,Eyeglasses,1,4101,20,3280.8,Cash,Male,18
ORD1000036,26-02-2025,Bengaluru,Karnataka,Online,Online Only,Contact Lenses,1,2105,10,1894.5,UPI,Female,30
ORD1000037,06-07-2025,Ranchi,Jharkhand,Online,Online Only,Contact Lenses,1,2081,0,2081,Credit Card,Male,25
ORD1000038,08-03-2023,Kochi,Kerala,Online,Online Only,Contact Lenses,3,4547,15,11594.85,Net Banking,Male,59
ORD1000039,04-02-2022,Gurugram,Haryana,Offline,Standalone Store,Eyeglasses,3,4244,5,12095.4,Debit Card,Female,41
ORD1000040,11-08-2024,Ranchi,Jharkhand,Online,Online Only,Contact Lenses,1,4562,5,4333.9,Debit Card,Female,29
ORD1000041,19-08-2024,Ahmedabad,Gujarat,Online,Online Only,Sunglasses,2,4256,15,7235.2,Credit Card,Other,54
ORD1000042,15-04-2023,Lucknow,Uttar Pradesh,Online,Online Only,Contact Lenses,1,3798,0,3798,Debit Card,Male,19
ORD1000043,02-10-2022,Trivandrum,Kerala,Offline,High Street Store,Computer Glasses,2,1653,5,3140.7,Debit Card,Female,50
ORD1000044,15-12-2024,Mumbai,Maharashtra,Offline,Online Only,Eyeglasses,1,4273,15,3632.05,Net Banking,Other,61
ORD1000045,31-05-2024,Ahmedabad,Gujarat,Online,Online Only,Computer Glasses,2,2532,5,4810.8,Credit Card,Other,21
ORD1000046,11-01-2025,Mumbai,Maharashtra,Online,Online Only,Computer Glasses,3,1001,5,2852.85,UPI,Male,34
ORD1000047,26-07-2024,Ranchi,Jharkhand,Online,Online Only,Contact Lenses,3,3126,10,8440.2,Net Banking,Female,51
ORD1000048,07-04-2024,Chennai,Tamil Nadu,Online,Online Only,Computer Glasses,2,2729,15,4639.3,Cash,Female,33
ORD1000049,27-02-2022,Pune,Maharashtra,Offline,Online Only,Eyeglasses,1,4071,5,3867.45,UPI,Other,23
ORD1000050,16-07-2022,Noida,Uttar Pradesh,Offline,Online Only,Sunglasses,1,2593,10,2333.7,UPI,Other,53
ORD1000051,17-03-2024,Lucknow,Uttar Pradesh,Offline,High Street Store,Contact Lenses,3,2168,10,5853.6,Cash,Female,36
ORD1000052,21-04-2023,Cuttack,Odisha,Offline,Standalone Store,Sunglasses,3,2642,20,6340.8,Cash,Other,57
ORD1000053,17-08-2022,Pune,Maharashtra,Offline,Online Only,Computer Glasses,3,3184,15,8119.2,Credit Card,Male,28
ORD1000054,17-08-2025,Chennai,Tamil Nadu,Online,Online Only,Sunglasses,1,4860,15,4131,Credit Card,Female,24
ORD1000055,30-05-2025,Pune,Maharashtra,Online,Online Only,Computer Glasses,2,1422,10,2559.6,Net Banking,Female,19
ORD1000056,09-01-2022,Bengaluru,Karnataka,Offline,Online Only,Computer Glasses,1,4522,10,4069.8,Credit Card,Female,49
ORD1000057,10-06-2022,Chennai,Tamil Nadu,Offline,High Street Store,Sunglasses,3,2855,5,8136.75,UPI,Female,36
ORD1000058,28-09-2023,Indore,Madhya Pradesh,Online,Online Only,Contact Lenses,3,3990,20,9576,Net Banking,Other,28
ORD1000059,26-07-2024,Mumbai,Maharashtra,Offline,Standalone Store,Sunglasses,1,2244,15,1907.4,Debit Card,Other,52
ORD1000060,25-03-2025,Chandigarh,Chandigarh,Offline,Online Only,Contact Lenses,2,897,25,1345.5,UPI,Female,35
ORD1000061,24-01-2025,Hyderabad,Telangana,Online,Online Only,Contact Lenses,2,4576,15,7779.2,Cash,Female,33
ORD1000062,23-12-2023,Faridabad,Haryana,Online,Online Only,Sunglasses,1,4866,15,4136.1,Net Banking,Female,50
ORD1000063,22-03-2024,Jaipur,Rajasthan,Online,Online Only,Sunglasses,2,2099,0,4198,Net Banking,Other,25
ORD1000064,14-05-2025,Pune,Maharashtra,Offline,Mall Store,Sunglasses,3,2017,15,5143.35,Debit Card,Male,50
ORD1000065,22-05-2023,Chandigarh,Chandigarh,Offline,Mall Store,Eyeglasses,3,4245,5,12098.25,Cash,Female,47
